SAMN10187352	10A-L1-22
SAMN10187350	25-L1-18
SAMN10187349	19-L1-29
SAMN10187348	38-L1-151
SAMN10187347	121-L1-166
SAMN10187346	28-L1-6
SAMN10187340	71-L1-158
SAMN10187339	56-L1-148
SAMN10187336	74-L1-149
SAMN10187335	34-L1-12
SAMN10187333	16-L1-27
SAMN10187331	50-L1-140
SAMN10187330	1-L1-11
SAMN10187325	77-L1-156
SAMN10187324	53-L1-159
SAMN10187321	4-L1-17
SAMN10187311	31-L1-15
SAMN10187300	62-L1-147
SAMN10187299	80-L1-141
SAMN10187297	10-L1-22
SAMN10187293	65-L1-154
SAMN10187287	44-L1-138
SAMN10187285	59-L1-135
SAMN10187282	7-L1-1
SAMN10187281	13-L1-21
