Marker,LG,Genetic Position 
e212,1,0
e543,1,9.185
e387,1,13.767
e436,1,16.86
e781,1,22.784
e377,1,26.649
e290,1,45.472
e198,1,59.286
e816,1,67.726
e805,1,74.5
e200,1,86.65
e757,1,99.939
e343,2,0
e782,2,1.768
e124,2,10.177
e461,2,10.19
e340,2,13.825
e617,2,19.439
e624,2,31.383
e153,2,35.235
e106,2,59.956
e616,2,60.86
e457,2,65.462
e589,2,66.956
e582,2,66.976
e565,2,76.147
e92,2,77.271
e761,2,87.955
e249,2,112.118
e503,3,0
e550,3,3.254
e429,3,9.431
e239,3,25.313
e312,3,32.75
e214,3,48.271
e592,3,57.728
e391,3,60.486
e240,3,62.931
e347,4,0
e132,4,7.842
e306,4,35.268
e477,4,46.542
e362,4,51.632
e776,4,61.696
e654,4,65.127
e243,4,72.06
e213,4,83.737
e787,4,105.319
e674,4,111.827
e219,4,119.169
e755,4,126.477
e325,4,132.023
e255,5,0
e641,5,5.38
e676,5,29.38
e784,5,41.21
e245,5,52.56
e9,5,55.4
e497,5,63.863
e649,5,72.461
e698,5,77.207
e712,5,77.207
e201,6,0
e25,6,10.08
e724,6,17.871
e801,6,28.576
e723,6,34.278
e370,6,37.319
e120,6,40.797
e314,6,42.299
e459,6,45.929
e349,6,50.011
e363,6,56.263
e105,6,62.104
e21,6,63.404
e431,6,77.57
e229,6,78.69
e602,6,87.964
e22,6,89.947
e430,6,109.597
e323,6,112.637
e467,6,115.055
e746,7,0
e376,7,18.205
e246,7,33.813
e251,7,46.216
e441,7,52.497
e741,7,67.404
e574,7,70.748
e331,7,74.288
e772,8,0
e650,8,0.917
e675,8,5.197
e173,8,5.208
e563,8,5.963
e560,8,6.718
e299,8,7.723
e84,8,8.208
e721b,8,12.027
e209,8,26.152
e288,8,39.729
e381,8,59.134
e710,8,60.646
e333,8,70.708
e656,8,71.46
GAIL,8,80.691
e76,8,83.701
e294,8,83.996
DFR,8,107.492
e829,8,112.128
e217,9,0
e536,9,4.092
e745,9,10.712
e760,9,26.618
e228b,9,31.327
e481,9,36.52
e638,9,65.196
e753,9,67.958
e612,9,73.981
e427,9,77.952
e609,10,0
e579,10,12.958
e293,10,23.464
e420,10,40.844
e521,10,44.682
e43,10,56.5
e846,10,73.594
e85,10,91.474
e297,10,92.19
e82,10,93.621
e75,10,95.478
e605,11,0
e93,11,2.882
e26,11,5.18
e344,11,7.389
e91,11,11.815
e644,11,16.508
e15,11,35.689
e780,11,50.073
e553,11,60.479
e380,11,62.23
e360,11,66.879
e63,11,75.02
e471,11,81.851
e766,11,84.774
e53,12,0
e727,12,4.198
e289,12,9.218
e614,12,12.332
e510,12,13.302
dr1,12,34.067
e702,12,56.385
e113,12,62.877
e548,12,71.809
e703,12,75.691
e327,12,85.591
e386,12,106.976
e490,13,0
e45,13,7.084
e851,13,27.341
e526,13,40.27
e55,13,60.722
e759,13,65.559
e747a,13,67.889
e547,13,75.009
e361,13,78.94
e446,13,82.104
e419,13,97.257
e527,14,0
e16,14,7.344
e514,14,12.612
e834,14,18.583
e788,14,34.441
e491,14,42.974
e368,14,48.472
e342,14,64.882
e661,14,68.485
e354,14,77.391
e133,14,94.176
e448,14,103.116
e17,14,106.62
e631,14,112.9
e520,14,119.555
e735,14,120.295
e713,14,126.503
e475,14,132.694
e583,14,134.838
e382,14,142.682
e258,14,146.222
