species,genotype,sample,condition,datatype,sra,genomes,adapters,genomeSize,misc(unmethylated_chr/lineage/etc)
Mguttatus,L1,L1,assembly,ont,no,Mguttatus_IM62 Mguttatus_NONTOL Mguttatus_TOL,,0.32g,eudicots_odb10
Mguttatus,S1,S1,assembly,ont,no,Mguttatus_IM62 Mguttatus_NONTOL Mguttatus_TOL,,0.32g,eudicots_odb10
Mguttatus,L1,L1,assembly,wgs,no,Mguttatus_IM62 Mguttatus_NONTOL Mguttatus_TOL,IDT,,
Mguttatus,S1,S1,assembly,wgs,no,Mguttatus_IM62 Mguttatus_NONTOL Mguttatus_TOL,IDT,,
Mguttatus,L1,L1,variants,ont,no,S1,,,
Mguttatus,S1,S1,variants,ont,no,L1,,,
Mguttatus,L1,L1,annotation,rna,yes,,TruSeq3-SE,,
Mguttatus,S1,S1,annotation,rna,yes,,TruSeq3-SE,,
Mguttatus,L1,L1,annotation,liftoff,no,Mguttatus_S1 Mguttatus_IM62,,,
Mguttatus,S1,S1,annotation,liftoff,no,Mguttatus_L1 Mguttatus_IM62,,,
Mguttatus,IM62,IM62,annotation,liftoff,no,Mguttatus_L1 Mguttatus_S1,,,
Mguttatus,S1,comparative,genome_alignment,genome,no,Mguttatus_L1 Mguttatus_IM62,,,
Mguttatus,L1,comparative,genome_alignment,genome,no,Mguttatus_S1 Mguttatus_IM62,,,
Mguttatus,S1,comparative,blastp,proteins-primary,no,Mguttatus_L1 Mguttatus_IM62 Mguttatus_NONTOL Mguttatus_TOL,,,
Mguttatus,L1,comparative,blastp,proteins-primary,no,Mguttatus_S1 Mguttatus_IM62 Mguttatus_NONTOL Mguttatus_TOL,,,
comparative,orthofinder,orthofinder,orthofinder,proteins-primary,no,Acoerulea_Acoerulea Athaliana_Athaliana Atrichopoda_Atrichopoda Brapa_FPsc Bvulgaris_Bvulgaris Cclementina_Cclementina Cpapaya_Cpapaya Dcarota_Dcarota Egrandis_Egrandis Fvesca_Fvesca Gmax_Gmax Graimondii_Graimondii Hannuus_Hannuus Lsativa_Lsativa Macuminata_Macuminata Mguttatus_L1 Mguttatus_S1 Mguttatus_IM62 Ncolorata_Ncolorata Oeuropaea_Oeuropaea Osativa_Osativa Ppersica_Ppersica Ptrichocarpa_Ptrichocarpa Sbicolor_Sbicolor Slycopersicum_Slycopersicum Spolyrhiza_Spolyrhiza Stuberosum_Stuberosum Tcacao_Tcacao Vdarrowii_Vdarrowii Vvinifera_Vvinifera Zmays_Zmays,,,
#comparative,orthofinder,orthofinder,orthofinder,proteins-primary,no,Acoerulea_Acoerulea Ahypochondriacus_Ahypochondriacus Alyrata_Alyrata Athaliana_Athaliana Atrichopoda_Atrichopoda Brapa_FPsc Bvulgaris_Bvulgaris Ccitriodora_Ccitriodora Cclementina_Cclementina Ckanehirae_Ckanehirae Cpapaya_Cpapaya Cquinoa_Cquinoa Crubella_Crubella Dcarota_Dcarota Egrandis_Egrandis Fvesca_Fvesca Gmax_Gmax Graimondii_Graimondii Hannuus_Hannuus Lsativa_Lsativa Macuminata_Macuminata Mguttatus_L1 Mguttatus_S1 Mguttatus_IM62 Ncolorata_Ncolorata Oeuropaea_Oeuropaea Osativa_Osativa Ppersica_Ppersica Ptrichocarpa_Ptrichocarpa Sbicolor_Sbicolor Slycopersicum_Slycopersicum Soleracea_Soleracea Spolyrhiza_Spolyrhiza Stuberosum_Stuberosum Tcacao_Tcacao Vdarrowii_Vdarrowii Vvinifera_Vvinifera Zmays_Zmays,,,
#comparative,orthofinder,orthofinder,orthofinder,proteins-primary,no,Acoerulea_Acoerulea Acomosus_Acomosus Ahypochondriacus_Ahypochondriacus Alyrata_Alyrata Aofficinalis_Aofficinalis Athaliana_Athaliana Atrichopoda_Atrichopoda Bdistachyon_Bdistachyon Brapa_FPsc Bvulgaris_Bvulgaris Ccitriodora_Ccitriodora Cclementina_Cclementina Ckanehirae_Ckanehirae Cpapaya_Cpapaya Cquinoa_Cquinoa Crubella_Crubella Dalata_Dalata Dcarota_Dcarota Egrandis_Egrandis Fvesca_Fvesca Gmax_Gmax Graimondii_Graimondii Hannuus_Hannuus Hvulgare_Morex Lsativa_Lsativa Macuminata_Macuminata Mguttatus_L1 Mguttatus_S1 Mguttatus_IM62 Ncolorata_Ncolorata Oeuropaea_Oeuropaea Osativa_Osativa Ppersica_Ppersica Ptrichocarpa_Ptrichocarpa Sbicolor_Sbicolor Sitalica_Sitalica Slycopersicum_Slycopersicum Soleracea_Soleracea Spolyrhiza_Spolyrhiza Stuberosum_Stuberosum Taestivum_Taestivum Tcacao_Tcacao Vdarrowii_Vdarrowii Vvinifera_Vvinifera Zmarina_Zmarina Zmays_Zmays,,,
